id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
Eminem|||Rap God|||0|||0,Eminem,Rap God,"```
<Artist name> Eminem <\Artist>
<Song title> Rap God <\Song title>
<Lyric> 
""Look, I was gonna go easy on you not to hurt your feelings""
""But I'm only going to get this one chance"" (Six minutes—, six minutes—)
""Something's wrong, I can feel it"" (Six minutes, Slim Shady, you're on!)
""Just a feeling I've got, like something's about to happen, but I don't know what. 
If that means what I think it means, we're in trouble, big trouble; 
And if he is as bananas as you say, I'm not taking any chances""
""You are just what the doc ordered""",Eminem|||Rap God|||0,0,confusion,disappointment,realization,"[{'label': 'neutral', 'score': 0.28192761540412903}, {'label': 'confusion', 'score': 0.2672922611236572}, {'label': 'disappointment', 'score': 0.2575720250606537}, {'label': 'realization', 'score': 0.09392234683036804}, {'label': 'nervousness', 'score': 0.0888255387544632}, {'label': 'annoyance', 'score': 0.06963881105184555}]"
Eminem|||Rap God|||0|||1,Eminem,Rap God,"I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
They said I rap like a robot, so call me Rap-bot",Eminem|||Rap God|||0,1,curiosity,confusion,approval,"[{'label': 'neutral', 'score': 0.8209784030914307}, {'label': 'curiosity', 'score': 0.10698720067739487}, {'label': 'confusion', 'score': 0.07514513283967972}, {'label': 'approval', 'score': 0.02749788947403431}, {'label': 'realization', 'score': 0.017261946573853493}, {'label': 'annoyance', 'score': 0.01225313451141119}]"
Eminem|||Rap God|||0|||2,Eminem,Rap God,"But for me to rap like a computer it must be in my genes
I got a laptop in my back pocket
My pen'll go off when I half-cock it
Got a fat knot from that rap profit
Made a livin' and a killin' off it
Ever since Bill Clinton was still in office
With Monica Lewinsky feelin' on his nutsack
I'm an MC still as honest
But as rude and as indecent as all hell
Syllables, skill-a-holic (Kill 'em all with)
This flippity dippity-hippity hip-hop
You don't really wanna get into a pissin' match
With this rappity brat, packin' a MAC in the back of the Ac'
Backpack rap crap, yap-yap, yackety-yack
And at the exact same time, I attempt these lyrical acrobat stunts while I'm practicin' that
I'll still be able to break a motherfuckin' table
Over the back of a couple of faggots and crack it in half
Only realized it was ironic, I was signed to Aftermath after the fact
How could I not blow? All I do is drop F-bombs
Feel my wrath of attack
Rappers are havin' a rough time period, here's a maxi pad
It's actually disastrously bad for the wack
While I'm masterfully constructing this masterpièce",Eminem|||Rap God|||0,2,realization,annoyance,disappointment,"[{'label': 'neutral', 'score': 0.36912378668785095}, {'label': 'realization', 'score': 0.31628262996673584}, {'label': 'annoyance', 'score': 0.23450477421283722}, {'label': 'disappointment', 'score': 0.07544507831335068}, {'label': 'embarrassment', 'score': 0.045863695442676544}, {'label': 'approval', 'score': 0.0329885333776474}]"
Eminem|||Rap God|||0|||3,Eminem,Rap God,"'Cause I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
Let me show you maintainin' this shit ain't that hard, that hard
Everybody want the key and the secret to rap immortality like Ι have got",Eminem|||Rap God|||0,3,curiosity,annoyance,approval,"[{'label': 'neutral', 'score': 0.8383256196975708}, {'label': 'curiosity', 'score': 0.05842486768960953}, {'label': 'annoyance', 'score': 0.056025635451078415}, {'label': 'approval', 'score': 0.034217581152915955}, {'label': 'confusion', 'score': 0.013983572833240032}, {'label': 'anger', 'score': 0.008283959701657295}]"
Eminem|||Rap God|||0|||4,Eminem,Rap God,"Well, to be truthful the blueprint's
Simply rage and youthful exuberance
Everybody loves to root for a nuisance
Hit the Earth like an asteroid
Did nothing but shoot for the Moon since (Pew!)
MCs get taken to school with this music
'Cause I use it as a vehicle to ""bus the rhyme""
Now I lead a new school full of students
Me? I'm a product of Rakim
Lakim Shabazz, 2Pac, N.W.A, Cube, hey Doc, Ren
Yella, Eazy, thank you, they got Slim
Inspired enough to one day grow up, blow up and be in a position
To meet Run–D.M.C., and induct them
Into the motherfuckin' Rock and Roll Hall of Fame
Even though I'll walk in the church and burst in a ball of flames
Only Hall of Fame I'll be inducted in is the alcohol of fame
On the wall of shame
You fags think it's all a game, 'til I walk a flock of flames
Off a plank and, tell me what in the fuck are you thinkin'?
Little gay-lookin' boy
So gay I can barely say it with a straight face, lookin' boy (Ha-ha!)
You're witnessin' a mass-occur
Like you're watching a church gathering take place, lookin' boy
""Oy vey, that boy's gay!""—that's all they say, lookin' boy
You get a thumbs up, pat on the back
And a ""way to go"" from your label every day, lookin' boy
Hey, lookin' boy! What you say, lookin' boy?
I get a ""hell yeah"" from Dre, lookin' boy
I'ma work for everything I have, never asked nobody for shit
Get outta my face, lookin' boy!
Basically, boy, you're never gonna be capable
Of keepin' up with the same pace, lookin' boy, 'cause—",Eminem|||Rap God|||0,4,annoyance,anger,gratitude,"[{'label': 'neutral', 'score': 0.3965670168399811}, {'label': 'annoyance', 'score': 0.1787896305322647}, {'label': 'anger', 'score': 0.09523569792509079}, {'label': 'gratitude', 'score': 0.018587937578558922}, {'label': 'curiosity', 'score': 0.009202997200191021}, {'label': 'disgust', 'score': 0.008451830595731735}]"
Eminem|||Rap God|||0|||5,Eminem,Rap God,"I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
The way I'm racin' around the track, call me NASCAR, NASCAR
Dale Earnhardt of the trailer park, the White Trash God
Kneel before General Zod
This planet's Krypton—no, Asgard, Asgard",Eminem|||Rap God|||0,5,approval,excitement,admiration,"[{'label': 'neutral', 'score': 0.905990719795227}, {'label': 'approval', 'score': 0.050977516919374466}, {'label': 'excitement', 'score': 0.01856875792145729}, {'label': 'admiration', 'score': 0.012658744119107723}, {'label': 'realization', 'score': 0.012236075475811958}, {'label': 'joy', 'score': 0.01097867637872696}]"
Eminem|||Rap God|||0|||6,Eminem,Rap God,"So you'll be Thor and I'll be Odin
You rodent, I'm omnipotent
Let off, then I'm reloadin'
Immediately with these bombs I'm totin'
And I should not be woken
I'm the walkin' dead, but I'm just a talkin' head, a zombie floatin'
But I got your mom deep-throatin'
I'm out my Ramen Noodle
We have nothin' in common, poodle
I'm a Doberman, pinch yourself in the arm and pay homage, pupil
It's me, my honesty's brutal
But it's honestly futile if I don't utilize what I do though
For good at least once in a while
So I wanna make sure somewhere in this chicken scratch I scribble and doodle enough rhymes
To maybe try to help get some people through tough times
But I gotta keep a few punchlines
Just in case 'cause even you unsigned
Rappers are hungry lookin' at me like it's lunchtime
I know there was a time where once I
Was king of the underground
But I still rap like I'm on my Pharoahe Monch grind
So I crunch rhymes, but sometimes when you combine
Appeal with the skin color of mine
You get too big and here they come tryin'
To censor you like that one line
I said on ""I'm Back"" from The Mathers LP 1 when I
Tried to say I'll take seven kids from Columbine
Put 'em all in a line, add an AK-47, a revolver and a 9
See if I get away with it now that I ain't as big as I was, but I'm
Morphin' into an immortal, comin' through the portal
You're stuck in a time warp from 2004 though
And I don't know what the fuck that you rhyme for
You're pointless as Rapunzel with fuckin' cornrows
You write normal? Fuck being normal!
And I just bought a new raygun from the future
Just to come and shoot ya, like when Fabolous made Ray J mad
'Cause Fab said he looked like a fag at Mayweather's pad
Singin' to a man while he played piano
Man, oh man, that was a 24/7 special on the cable channel
So Ray J went straight to the radio station
The very next day, ""Hey Fab, I'ma kill you!""
 comin' at you at supersonic speed (J.J. Fad)
Uh, summa-lumma, dooma-lumma, you assumin' I'm a human
What I gotta do to get it through to you? I'm superhuman
Innovative and I'm made of rubber so that anything you say is ricochetin' off of me and it'll glue to you and
I'm devastating, more than ever demonstrating
How to give a motherfuckin' audience a feeling like it's levitating
Never fading, and I know the haters are forever waiting
For the day that they can say I fell off, they'll be celebrating
'Cause I know the way to get 'em motivated
I make elevating music, you make elevator music
""Oh, he's too mainstream.""
Well, that's what they do when they get jealous, they confuse it
""It's not hip-hop, it's pop,""—'cause I found a hella way to fuse it
With rock, shock rap with Doc
Throw on ""Lose Yourself"" and make 'em lose it
""I don't know how to make songs like that
I don't know what words to use.""
Let me know when it occurs to you
While I'm rippin' any one of these verses that versus you
It's curtains, I'm inadvertently hurtin' you
How many verses I gotta murder to
Prove that if you were half as nice, your songs you could sacrifice virgins too?!
Ugh, school flunky, pill junkie
But look at the accolades these skills brung me
Full of myself, but still hungry
I bully myself 'cause I make me do what I put my mind to
And I'm a million leagues above you
Ill when I speak in tongues, but it's still tongue-in-cheek, fuck you
I'm drunk, so, Satan, take the fucking wheel
I'ma sleep in the front seat
Bumpin' Heavy D and the Boyz, still ""Chunky but Funky""
But in my head there's something I can feel tugging and struggling
Angels fight with devils and here's what they want from me
They're askin' me to eliminate some of the women hate
But if you take into consideration the bitter hatred
I have, then you may be a little patient
And more sympathetic to the situation
And understand the discrimination
But fuck it, life's handin' you lemons? Make lemonade then!
But if I can't batter the women
How the fuck am I supposed to bake 'em a cake then?
Don't mistake him for Satan
It's a fatal mistake if you think I need to be overseas and take a vacation
To trip a broad, and make her fall on her face and
Don't be a retard—be a king? Think not
Why be a king when you can be a god?6.8K
<\Lyric>```",Eminem|||Rap God|||0,6,annoyance,anger,confusion,"[{'label': 'neutral', 'score': 0.46361371874809265}, {'label': 'annoyance', 'score': 0.4621826708316803}, {'label': 'anger', 'score': 0.08894188702106476}, {'label': 'confusion', 'score': 0.03905947878956795}, {'label': 'disapproval', 'score': 0.03074556775391102}, {'label': 'disappointment', 'score': 0.029067358002066612}]"
Eminem|||Lose Yourself|||1|||0,Eminem,Lose Yourself,"```
<Artist name> Eminem <\Artist>
<Song title> Lose Yourself <\Song title>
<Lyric> 
Look, if you had one shot or one opportunity
To seize everything you ever wanted in one moment
Would you capture it or just let it slip?
Yo",Eminem|||Lose Yourself|||1,0,curiosity,confusion,optimism,"[{'label': 'neutral', 'score': 0.6347622871398926}, {'label': 'curiosity', 'score': 0.4066663682460785}, {'label': 'confusion', 'score': 0.06769886612892151}, {'label': 'optimism', 'score': 0.01281595230102539}, {'label': 'approval', 'score': 0.009309763088822365}, {'label': 'annoyance', 'score': 0.007372975815087557}]"
Eminem|||Lose Yourself|||1|||1,Eminem,Lose Yourself,"His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface, he looks calm and ready
To drop bombs, but he keeps on forgetting
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin', how? Everybody's jokin' now
The clock's run out, time's up, over, blaow
Snap back to reality, ope, there goes gravity
Ope, there goes Rabbit, he choked, he's so mad
But he won't give up that easy, no, he won't have it
He knows his whole back's to these ropes, it don't matter
He's dope, he knows that, but he's broke, he's so stagnant
He knows when he goes back to this mobile home, that's when it's
Back to the lab again, yo, this old rhapsody
Better go capture this moment and hope it don't pass him",Eminem|||Lose Yourself|||1,1,sadness,disappointment,fear,"[{'label': 'neutral', 'score': 0.803511381149292}, {'label': 'sadness', 'score': 0.05917839705944061}, {'label': 'disappointment', 'score': 0.05133684352040291}, {'label': 'fear', 'score': 0.0374470017850399}, {'label': 'nervousness', 'score': 0.027106542140245438}, {'label': 'annoyance', 'score': 0.022974291816353798}]"
Eminem|||Lose Yourself|||1|||2,Eminem,Lose Yourself,"You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better",Eminem|||Lose Yourself|||1,2,caring,approval,optimism,"[{'label': 'neutral', 'score': 0.44139426946640015}, {'label': 'caring', 'score': 0.3908174932003021}, {'label': 'approval', 'score': 0.18599079549312592}, {'label': 'optimism', 'score': 0.08879385888576508}, {'label': 'admiration', 'score': 0.011366370134055614}, {'label': 'realization', 'score': 0.009590012021362782}]"
