id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
Imagine Dragons|||Believer|||0|||0,Imagine Dragons,Believer,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Believer <\Song title>
<Lyric> 
First things first
I'ma say all the words inside my head
I'm fired up and tired of
The way that things have been, oh-ooh
The way that things have been, oh-ooh",Imagine Dragons|||Believer|||0,0,annoyance,excitement,realization,"[{'label': 'neutral', 'score': 0.6554247140884399}, {'label': 'annoyance', 'score': 0.09568752348423004}, {'label': 'excitement', 'score': 0.062092315405607224}, {'label': 'realization', 'score': 0.048207610845565796}, {'label': 'disappointment', 'score': 0.035152703523635864}, {'label': 'joy', 'score': 0.02957409806549549}]"
Imagine Dragons|||Believer|||0|||1,Imagine Dragons,Believer,"Second things second
Don't you tell me what you think that I could be
I'm the one at the sail
I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh",Imagine Dragons|||Believer|||0,1,admiration,curiosity,excitement,"[{'label': 'neutral', 'score': 0.3575056195259094}, {'label': 'admiration', 'score': 0.2982114553451538}, {'label': 'curiosity', 'score': 0.12279100716114044}, {'label': 'excitement', 'score': 0.07249148190021515}, {'label': 'approval', 'score': 0.06251148879528046}, {'label': 'annoyance', 'score': 0.01002456620335579}]"
Imagine Dragons|||Believer|||0|||2,Imagine Dragons,Believer,"I was broken from a young age
Taking my sulkin' to the masses
Writing my poems for the few
That look at me, took to me, shook at me, feelin' me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...",Imagine Dragons|||Believer|||0,2,sadness,disappointment,realization,"[{'label': 'sadness', 'score': 0.6340502500534058}, {'label': 'neutral', 'score': 0.3463596701622009}, {'label': 'disappointment', 'score': 0.12819600105285645}, {'label': 'realization', 'score': 0.041011590510606766}, {'label': 'approval', 'score': 0.017492961138486862}, {'label': 'annoyance', 'score': 0.016079304739832878}]"
Imagine Dragons|||Believer|||0|||3,Imagine Dragons,Believer,"Pain! You made me a, you made me a
Believer, believer
Pain! You break me down, you build me up
Believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from…
Pain! You made me a, you made me a
Believer, believer",Imagine Dragons|||Believer|||0,3,sadness,love,approval,"[{'label': 'neutral', 'score': 0.28824281692504883}, {'label': 'sadness', 'score': 0.16703881323337555}, {'label': 'love', 'score': 0.11616954207420349}, {'label': 'approval', 'score': 0.1135164275765419}, {'label': 'disappointment', 'score': 0.06042932718992233}, {'label': 'realization', 'score': 0.051175806671381}]"
Imagine Dragons|||Believer|||0|||4,Imagine Dragons,Believer,"Third things third
Send a prayer to the ones up above
All the hate that you've heard
Has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh",Imagine Dragons|||Believer|||0,4,caring,desire,optimism,"[{'label': 'neutral', 'score': 0.7136433720588684}, {'label': 'caring', 'score': 0.173783540725708}, {'label': 'desire', 'score': 0.02381839044392109}, {'label': 'optimism', 'score': 0.015756510198116302}, {'label': 'annoyance', 'score': 0.013529385440051556}, {'label': 'approval', 'score': 0.012514717876911163}]"
Imagine Dragons|||Believer|||0|||5,Imagine Dragons,Believer,"I was chokin' in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…",Imagine Dragons|||Believer|||0,5,optimism,desire,disappointment,"[{'label': 'optimism', 'score': 0.5002282857894897}, {'label': 'neutral', 'score': 0.42711904644966125}, {'label': 'desire', 'score': 0.06722331047058105}, {'label': 'disappointment', 'score': 0.06093500927090645}, {'label': 'disapproval', 'score': 0.02872905693948269}, {'label': 'sadness', 'score': 0.020909173414111137}]"
Imagine Dragons|||Believer|||0|||6,Imagine Dragons,Believer,"Last things last
By the grace of the fire and the flames
You're the face of the future
The blood in my veins, oh-ooh
The blood in my veins, oh-ooh",Imagine Dragons|||Believer|||0,6,excitement,surprise,realization,"[{'label': 'neutral', 'score': 0.8840777277946472}, {'label': 'excitement', 'score': 0.03681368753314018}, {'label': 'surprise', 'score': 0.029047420248389244}, {'label': 'realization', 'score': 0.02111857756972313}, {'label': 'annoyance', 'score': 0.0160044077783823}, {'label': 'amusement', 'score': 0.014964761212468147}]"
Imagine Dragons|||Believer|||0|||7,Imagine Dragons,Believer,"But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…
<\Lyric>```",Imagine Dragons|||Believer|||0,7,disapproval,realization,approval,"[{'label': 'neutral', 'score': 0.9551780819892883}, {'label': 'disapproval', 'score': 0.016597667708992958}, {'label': 'realization', 'score': 0.01362155843526125}, {'label': 'approval', 'score': 0.011928743682801723}, {'label': 'annoyance', 'score': 0.010856341570615768}, {'label': 'disappointment', 'score': 0.007325046230107546}]"
Imagine Dragons|||Thunder|||1|||0,Imagine Dragons,Thunder,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Thunder <\Song title>
<Lyric> 
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my own life behind
Not a ""Yes, sir,"" not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder",Imagine Dragons|||Thunder|||1,0,desire,optimism,annoyance,"[{'label': 'desire', 'score': 0.5351813435554504}, {'label': 'neutral', 'score': 0.5308670401573181}, {'label': 'optimism', 'score': 0.028324972838163376}, {'label': 'annoyance', 'score': 0.016544857993721962}, {'label': 'disappointment', 'score': 0.01459471881389618}, {'label': 'approval', 'score': 0.014331856742501259}]"
Imagine Dragons|||Thunder|||1|||1,Imagine Dragons,Thunder,"Thunder, thunder
Thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder",Imagine Dragons|||Thunder|||1,1,excitement,annoyance,approval,"[{'label': 'neutral', 'score': 0.9578214883804321}, {'label': 'excitement', 'score': 0.0130615234375}, {'label': 'annoyance', 'score': 0.008612595498561859}, {'label': 'approval', 'score': 0.00715415645390749}, {'label': 'joy', 'score': 0.006697811186313629}, {'label': 'fear', 'score': 0.0062570334412157536}]"
