id,artist_name,song_title,lyrics,parent_id,chunk_order
Imagine Dragons|||Believer|||0|||0,Imagine Dragons,Believer,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Believer <\Song title>
<Lyric> 
First things first
I'ma say all the words inside my head
I'm fired up and tired of
The way that things have been, oh-ooh
The way that things have been, oh-ooh",Imagine Dragons|||Believer|||0,0
Imagine Dragons|||Believer|||0|||1,Imagine Dragons,Believer,"Second things second
Don't you tell me what you think that I could be
I'm the one at the sail
I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh",Imagine Dragons|||Believer|||0,1
Imagine Dragons|||Believer|||0|||2,Imagine Dragons,Believer,"I was broken from a young age
Taking my sulkin' to the masses
Writing my poems for the few
That look at me, took to me, shook at me, feelin' me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...",Imagine Dragons|||Believer|||0,2
Imagine Dragons|||Believer|||0|||3,Imagine Dragons,Believer,"Pain! You made me a, you made me a
Believer, believer
Pain! You break me down, you build me up
Believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from…
Pain! You made me a, you made me a
Believer, believer",Imagine Dragons|||Believer|||0,3
Imagine Dragons|||Believer|||0|||4,Imagine Dragons,Believer,"Third things third
Send a prayer to the ones up above
All the hate that you've heard
Has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh",Imagine Dragons|||Believer|||0,4
Imagine Dragons|||Believer|||0|||5,Imagine Dragons,Believer,"I was chokin' in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…",Imagine Dragons|||Believer|||0,5
Imagine Dragons|||Believer|||0|||6,Imagine Dragons,Believer,"Last things last
By the grace of the fire and the flames
You're the face of the future
The blood in my veins, oh-ooh
The blood in my veins, oh-ooh",Imagine Dragons|||Believer|||0,6
Imagine Dragons|||Believer|||0|||7,Imagine Dragons,Believer,"But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…
<\Lyric>```",Imagine Dragons|||Believer|||0,7
Imagine Dragons|||Thunder|||1|||0,Imagine Dragons,Thunder,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Thunder <\Song title>
<Lyric> 
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my own life behind
Not a ""Yes, sir,"" not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder",Imagine Dragons|||Thunder|||1,0
Imagine Dragons|||Thunder|||1|||1,Imagine Dragons,Thunder,"Thunder, thunder
Thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder",Imagine Dragons|||Thunder|||1,1
Imagine Dragons|||Thunder|||1|||2,Imagine Dragons,Thunder,"Thunder, feel the thunder (Thunder, thunder, thun—)
Lightning, then the thunder (Thunder, th-th-thunder, thunder)
Thunder, feel the thunder (Thunder, thunder, thun—, thun—)
Lightning, then the thunder, thunder, thunder (Th-th-thunder)
Thunder (Thun—, thun—)",Imagine Dragons|||Thunder|||1,2
Imagine Dragons|||Thunder|||1|||3,Imagine Dragons,Thunder,"Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say: ""You're basic,"", they say: ""You're easy""
You're always riding in the backseat
Now I'm smiling from the stage
While you were clapping in the nosebleeds",Imagine Dragons|||Thunder|||1,3
Imagine Dragons|||Thunder|||1|||4,Imagine Dragons,Thunder,"Thunder, feel the thunder
Lightning, then the thunder, thunder",Imagine Dragons|||Thunder|||1,4
Imagine Dragons|||Thunder|||1|||5,Imagine Dragons,Thunder,"Thunder, feel the thunder (Thunder, thunder, thun—)
Lightning, then the thunder, thunder (Thunder, th-th-thunder, thunder)
Thunder, feel the thunder (Thunder, thunder, thun—, thun—)
Lightning, then the thunder, thunder (Th-th-thunder)
Thunder, feel the thunder (Thunder, thunder, thun—)
(Never give up, never give up)
Lightning, then the thunder, thunder (Thunder, th-th-thunder, thunder)
(Never give up on your dreams)
Thunder, feel the thunder (Thunder, thunder, thun—, thun—)
(Never give up, never give up)
Lightning, then the thunder, thunder (Th-th-thunder)
(Never give up on your dreams)",Imagine Dragons|||Thunder|||1,5
Imagine Dragons|||Thunder|||1|||6,Imagine Dragons,Thunder,"Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
(Woah-oh-ohh)
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
(Woah-oh-ohh)
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
<\Lyric>```",Imagine Dragons|||Thunder|||1,6
Imagine Dragons|||Demons|||2|||0,Imagine Dragons,Demons,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Demons <\Song title>
<Lyric> 
When the days are cold and the cards all fold
And the saints we see are all made of gold
When your dreams all fail and the ones we hail
Are the worst of all, and the blood's run stale",Imagine Dragons|||Demons|||2,0
Imagine Dragons|||Demons|||2|||1,Imagine Dragons,Demons,"I wanna hide the truth, I wanna shelter you
But with the beast inside, there's nowhere we can hide
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come",Imagine Dragons|||Demons|||2,1
Imagine Dragons|||Demons|||2|||2,Imagine Dragons,Demons,"When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide",Imagine Dragons|||Demons|||2,2
Imagine Dragons|||Demons|||2|||3,Imagine Dragons,Demons,"At the curtain's call it's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave and the masquerade
Will come calling out at the mess you've made",Imagine Dragons|||Demons|||2,3
Imagine Dragons|||Demons|||2|||4,Imagine Dragons,Demons,"Don't wanna let you down, but I am hell-bound
Though this is all for you, don't wanna hide the truth
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come",Imagine Dragons|||Demons|||2,4
Imagine Dragons|||Demons|||2|||5,Imagine Dragons,Demons,"They say it's what you make, I say it's up to fate
It's woven in my soul, I need to let you go
Your eyes, they shine so bright, I wanna save that light
I can't escape this now, unless you show me how
<\Lyric>```",Imagine Dragons|||Demons|||2,5
Imagine Dragons|||Whatever It Takes|||3|||0,Imagine Dragons,Whatever It Takes,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Whatever It Takes <\Song title>
<Lyric> 
Falling too fast to prepare for this
Tripping in the world could be dangerous
Everybody circling is vulturous
Negative, nepotist
Everybody waiting for the fall of man
Everybody praying for the end of times
Everybody hoping they could be the one
I was born to run, I was born for this",Imagine Dragons|||Whatever It Takes|||3,0
Imagine Dragons|||Whatever It Takes|||3|||1,Imagine Dragons,Whatever It Takes,"Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up",Imagine Dragons|||Whatever It Takes|||3,1
Imagine Dragons|||Whatever It Takes|||3|||2,Imagine Dragons,Whatever It Takes,"Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top
I'm ready for whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes",Imagine Dragons|||Whatever It Takes|||3,2
Imagine Dragons|||Whatever It Takes|||3|||3,Imagine Dragons,Whatever It Takes,"Always had a fear of being typical
Looking at my body feeling miserable
Always hanging on to the visual
I wanna be invisible
Looking at my years like a martyrdom
Everybody needs to be a part of 'em
Never be enough, I'm the prodigal son
I was born to run, I was born for this",Imagine Dragons|||Whatever It Takes|||3,3
Imagine Dragons|||Whatever It Takes|||3|||4,Imagine Dragons,Whatever It Takes,"Hypocritical, egotistical
Don't wanna be the parenthetical, hypothetical
Working hard on something that I'm proud of, out of the box
An epoxy to the world and the vision we've lost
I'm an apostrophe
I'm just a symbol to remind you that there's more to see
I'm just a product of the system, a catastrophe
And yet a masterpiece, and yet I'm half-diseased
And when I am deceased
At least I'll go down to the grave and die happily
And leave the body and the soul to be a part of thee
I do what it takes
<\Lyric>```",Imagine Dragons|||Whatever It Takes|||3,4
Imagine Dragons|||Radioactive|||4|||0,Imagine Dragons,Radioactive,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Radioactive <\Song title>
<Lyric> 
Woah, oh-oh
Woah, oh-oh
Woah, oh-oh
Woah",Imagine Dragons|||Radioactive|||4,0
Imagine Dragons|||Radioactive|||4|||1,Imagine Dragons,Radioactive,"I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals",Imagine Dragons|||Radioactive|||4,1
Imagine Dragons|||Radioactive|||4|||2,Imagine Dragons,Radioactive,"I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah",Imagine Dragons|||Radioactive|||4,2
Imagine Dragons|||Radioactive|||4|||3,Imagine Dragons,Radioactive,"I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age",Imagine Dragons|||Radioactive|||4,3
Imagine Dragons|||Radioactive|||4|||4,Imagine Dragons,Radioactive,"Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive",Imagine Dragons|||Radioactive|||4,4
Imagine Dragons|||Radioactive|||4|||5,Imagine Dragons,Radioactive,"I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Woah",Imagine Dragons|||Radioactive|||4,5
Imagine Dragons|||Radioactive|||4|||6,Imagine Dragons,Radioactive,"All systems go, the sun hasn't died
Deep in my bones, straight from inside
<\Lyric>```",Imagine Dragons|||Radioactive|||4,6
Imagine Dragons|||Natural|||5|||0,Imagine Dragons,Natural,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Natural <\Song title>
<Lyric> 
Will you hold the line
When every one of them has given up and given in? Tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will Heaven step in? Will it save us from our sin? Will it?
'Cause this house of mine stands strong",Imagine Dragons|||Natural|||5,0
Imagine Dragons|||Natural|||5|||1,Imagine Dragons,Natural,"That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a",Imagine Dragons|||Natural|||5,1
Imagine Dragons|||Natural|||5|||2,Imagine Dragons,Natural,"Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural",Imagine Dragons|||Natural|||5,2
Imagine Dragons|||Natural|||5|||3,Imagine Dragons,Natural,"Will somebody
Let me see the light within the dark trees shadowing?
What's happenin'?
Lookin' through the glass, find the wrong within the past knowin'
Oh, we are the youth
Cut until it bleeds inside a world without the peace, facing
A bit of the truth, the truth",Imagine Dragons|||Natural|||5,3
Imagine Dragons|||Natural|||5|||4,Imagine Dragons,Natural,"Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood of my hand, won't break it
I can taste it, the end is upon us, I swear
I'm gonna make it
I'm gonna make it",Imagine Dragons|||Natural|||5,4
Imagine Dragons|||Natural|||5|||5,Imagine Dragons,Natural,"Natural
Yeah, you're a natural
<\Lyric>```",Imagine Dragons|||Natural|||5,5
Imagine Dragons|||Bad Liar|||6|||0,Imagine Dragons,Bad Liar,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Bad Liar <\Song title>
<Lyric> 
Oh, hush, my dear, it's been a difficult year
And terrors don’t prey on innocent victims
Trust me, darlin', trust me, darlin'
It’s been a loveless year
I'm a man of three fears
Integrity, faith, and crocodile tears
Trust me, darlin', trust me, darlin'",Imagine Dragons|||Bad Liar|||6,0
Imagine Dragons|||Bad Liar|||6|||1,Imagine Dragons,Bad Liar,"So look me in the eyes, tell me what you see
Perfect paradise, tearin' at the seams
I wish I could escape it, I don't wanna fake it
Wish I could erase it, make your heart believe",Imagine Dragons|||Bad Liar|||6,1
Imagine Dragons|||Bad Liar|||6|||2,Imagine Dragons,Bad Liar,"But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you’re free to go",Imagine Dragons|||Bad Liar|||6,2
Imagine Dragons|||Bad Liar|||6|||3,Imagine Dragons,Bad Liar,"Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I’ve been askin' for
Oh, I’ve been askin' for problems, problems, problems
I wage my war on the world inside
I take my gun to the enemy's side
Oh, I've been askin’ for ( Trust me, darlin', trust me, darlin')
Oh, I've been askin' for problems, problems, problems",Imagine Dragons|||Bad Liar|||6,3
Imagine Dragons|||Bad Liar|||6|||4,Imagine Dragons,Bad Liar,"But I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go",Imagine Dragons|||Bad Liar|||6,4
Imagine Dragons|||Bad Liar|||6|||5,Imagine Dragons,Bad Liar,"I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me",Imagine Dragons|||Bad Liar|||6,5
Imagine Dragons|||Bad Liar|||6|||6,Imagine Dragons,Bad Liar,"I'm a bad liar, bad liar
Now you know, now you know
I'm a bad liar, bad liar
Now you know, you're free to go",Imagine Dragons|||Bad Liar|||6,6
Imagine Dragons|||Bad Liar|||6|||7,Imagine Dragons,Bad Liar,"Oh-oh-oh
Please believe me
Please believe me
<\Lyric>```",Imagine Dragons|||Bad Liar|||6,7
Imagine Dragons|||Not Today|||8|||0,Imagine Dragons,Not Today,"```
<Artist name> Imagine Dragons <\Artist>
<Song title> Not Today <\Song title>
<Lyric> 
There she goes in front of me
Take my life and set me free again
We'll make a memory out of it
Holy road is at my back
Don't look on, take me back again
We'll make a memory out of it",Imagine Dragons|||Not Today|||8,0
Imagine Dragons|||Not Today|||8|||1,Imagine Dragons,Not Today,"We finally fall apart
And we break each other's hearts
If we wanna live young, love
We better start today",Imagine Dragons|||Not Today|||8,1
