id,artist_name,song_title,lyrics,parent_id,chunk_order,
Lupe Fiasco|||Mural|||0|||0,Lupe Fiasco,Mural,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Mural <\Song title>
<Lyric> 
We're all chemicals, vitamins, and minerals
And vicodin with inner tubes wrapped around the arm
To see the vein like a chicken on the barn
Top Cat chat, let's begin another yarn
That's flying saucer cheese, or is it chicken parm'?
But roosters don't fly like boosters don't buy
So what powers cowards to get them to the top
Just to fall asleep listening to Bach?
The ribbon in the sky is the riddim that I drop
Dribbling the eye across the prism of a clock
That lacks meaning, but racks up stacks of fat reading
They catch Chief and wrapped up plants from trap dealings
Now what's a coffin with a scratched ceiling?
And what's the talking without the match feeling
That's buried living
And cherry-picking every lemon from your berry system
Then proceed with the pack feeding
When I was young I had visions of another world
Sneaking looks at the porn stash of my brother Hurl
Incense smoke made vortices and other curls
Casting calls from porn films and ad space for rubber girls
I like my pancakes cut in swirls
Moroccan moles and undercover squirrels
I like cartoons, southern cities with large moons
Faith healers, ex-female drug dealers and art booms
Apologize for my weird mix
What taste like hot dogs and tear drips?
And looks like pantomime and clear bricks?
And smells like shotguns and deer piss?
They on their hunt, kind of salty that I'm going hard
First part of a party, that I throw in parts
One minute you're playing pool, next minute you're throwing darts
But that's how you do with a party that you throw in bars
I run the Gambit like I'm throwing cards
From Popular Mechanics to overdosing heart/hard
Paint cold pictures like Nova Scotia landscapes
Nerd gang, make Mandelbrot sets when we handshake
A word game back up plan that can dam lakes
Backup the wordplay ain't playing that the man's states
Means I can still be the man if the dam breaks
And when demand brakes I'm reflectious, what they can't face
My peers will still treat the mirror like it's a fan base
The unfettered veteran, the eagle feathered man of medicine
That hovers above cities like weathermen
Or maybe weather woman
Whatever better to tell ya weather comin'
I prefer girls to reign all over the world
And not ?œrain??like ?œRain Man??or rain like ?œrain dance??Or rain like a ?œslight chance of rain??when it's rainin??Or ?œrein??like deer slaves to Santa Claus; sleigh man
But ?œreign??like queens that reign over made man
And not ?œQueen??like ?œQueen Killer; Rhapsody Bohem?™â€?Queen
But ?œqueen??like white-glove-wave-hand
And not ?œwave hand,??like it's a heat
Wave, so you make a fan by waving your hand
I'm talking ?œwave,??like you saying, ""Hey, man!""
And not hay for horses or ""hoarsest"" like you almost voiceless
You gotta treat your vocal chords like it's a fortress
And treat every single one of your words like reinforcements
And especially when you're recording
Cause that's the portion that's important
When I was reporting that I was poor, but now I'm more than
It's still hooker heels on my sugar hills and sweet spots
Crying shames, make margarita rims from cheap tops
Deep plots, in floor to ceiling windows for my pee pots
A little scene, with the sickle swings, to make the wheat drop
And a hundred words, for them hummingbirds, that like to eavesdrop
And fan out like peacocks, with a parakeet that beat box
So the sun rise when the beat drop, and the sun dies when the beat stops...
Then it unties, then it relocks, then it relapse, then it detox
Then heat back like a heat pack on his knee caps of the weak spot
'Cause he want what we got, like yeah",Lupe Fiasco|||Mural|||0,0,
Lupe Fiasco|||Mural|||0|||1,Lupe Fiasco,Mural,"Then forge poetry, like a young ornery Morrissey
Then spit it to the golden locks thots, who like their porridge all watery
Not scorching nor sorbet-y
From the steel orbitings, sorcerer of sorcery
Coming down gorgeously, just like a Stacey Dash waterfall
Or more torturing, a water-boarding Barbie doll
A river of women like Brazilian Carnival
Swimming in feminine bikinis made out of Barbasol
Somebody give them the volleyballs
If you love her, don't ever send her to Mally Mall's
Homie, if she lonely she might end up in Macauly's claws
Coming out the closet over goblets, down at Mardi Gras
The fame, champagne, walk of shame lobby call
My rap position was black condition and activism
Ammunition for abolition, missions attacking systems
But they not apt to listen, unless it's dropping on Activision
Are we apps, or are we bodies filled with apparitions?
Operating applications, stuck inside of Apple prison
Chicken hackin??download updates that lack religion
Or are we more...
...Than soil tainting, disloyal changelings
Preoccupied with boy and Goyle chasing, and foiling other's royal saintings?
I sit back and watch the world through eye holes in my oil paintings
Uhhh! Ain't nothin' to it, but to do it
Unless you Virgin Mary, nothin' do it but the truest
Believe all that, unless you Jewish
Life is not a dictionary, it's a thesaurus
And I feel like a missionary, to a clitoris
The water bearer, heir of traditions, that I swear to never change
My chair position or conditions of my porridge
Submission for sedition against the religion of a chorus
Keep them golden weave thieves out the mothafuckin' forest
As I perform a nerd storm, I prefer my pictures in word form
Bury the hatchet like how a bird born
As I paint cold pictures, like Kool-Aid facing condensation
Having conversations with flavorful combinations
Slave to my concentration
So that's OJ da Juiceman, meets OJ with two hands
And two gloves, that's too snug, to judge who was, who drew blood
And, Lupe look at all these toucans, in a cemetery full of tomahawks
Giving middle fingers to the pigeons doing somersaults
Road runners don't fall off cliffs, they run across
Anomalies by the colony, flukes by the reservoir
Wildin' pursuers end up as poofs, on the desert floor
Levitating youths, who know the truth of where the fountain hides
Buckaroo roof painting tunnels onto the mountain sides
A thousand parts, a pound of heart, an ounce of eyes
Announcing now, the doubt in mouth, pronounces out a count of lies
Chocula Counts by the count of five
Refrigerator roof, full of animals and monsters
Incinerator chutes and the manual for Contra
Assorted memories from my childhood
Absorbing energy from the wild woods
Electronic combat Konami sign contract
Chinese chalk killing cucarachas on contact
Chicago, spray gun aficionado
Efficient spitting bridging divisions isn't Chicano
Who?™s the Boss? If it isn't Alyssa Milano
Dudikoff, ninja mission into the Congo
Polarize envy of the older guys
Black obi, shinobi hittin' Kenno in the face with all my throwin' knives
Sub-zero, Gaiden, hiding, Raiden in the pack as well
Sound village, Leaf village, wolf spirit, magic spells
Dodging Rain and catching hail
Faith seers need samurais to catch the L
Special research vessels made for catching whales
Filet-o-fish ships sea-shepherded peppered with extra sails
Rewrite history, liberty needs a better bell
Maybe harder irons and carbon fibers that never fail
Smarter science mixed with a odd alliance of fairy tale
Or maybe just a metal pail you hit with steel tools
To announce that you've had enough and dropping out of SEAL school
Just like trout jumping out their house to let their gills cool
Cuba-scuba couldn't take the temperature of my skill pool
Yeah, I said it feels cool to kill fools
Slipping through the cracks like when you try to grill gruel
Techno Viking water bottle and not following pill rules
Will have you off the throttle when you should be modelin' chill mood
Roller skater maker or are you just cobblin' wheel shoes
Overweight taster of kings food that kills crews
Oblivious feather-weight baker who autographed cakes whenever his quill moves over your milieu
Simple as a Buddhist monk in a temple standing in some heel groove with the abbot, practising stillness
Real Steel til' he realize his realness
Defeat Samsara, achieves nirvana and brilliance
Yeah!
<\Lyric>```",Lupe Fiasco|||Mural|||0,1,
Lupe Fiasco|||Bitch Bad|||1|||0,Lupe Fiasco,Bitch Bad,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Bitch Bad <\Song title>
<Lyric> 
Yeah, I say, bitch bad
Woman good, lady better
Hey, hey, hey, hey",Lupe Fiasco|||Bitch Bad|||1,0,
Lupe Fiasco|||Bitch Bad|||1|||1,Lupe Fiasco,Bitch Bad,"Now imagine there's a shorty, maybe five, maybe four
Riding 'round with his mama listening to the radio
And a song comes on and a not far off from being born
Doesn't know the difference between right and wrong
Now, I ain't trying to make it too complex
But let's just say shorty has an undeveloped context
About the perception of women these days
His mama sings along, and this what she says
""Niggas, I'm a bad bitch, and I'm bad, bitch!
Somethin' that's far above average.""
And maybe other rhyming words like ""cabbage"" and ""savage""
And ""baby carriage"" and other things that match it
Couple of things are happenin' here
First he's relatin' the word bitch with his mama, comma
And because she's relatin' to herself
As most important source of help
And mental health, he may skew respect for dishonor",Lupe Fiasco|||Bitch Bad|||1,1,
Lupe Fiasco|||Bitch Bad|||1|||2,Lupe Fiasco,Bitch Bad,"Bitch bad, woman good
Lady better, they misunderstood
(I'm killin' these bitches)
Uh, tell 'em, bitch bad
Woman good, lady better
They misunderstood
They misunderstood",Lupe Fiasco|||Bitch Bad|||1,2,
Lupe Fiasco|||Bitch Bad|||1|||3,Lupe Fiasco,Bitch Bad,"Yeah, now imagine a group of little girls nine through 12
On the Internet watching videos, listening to songs by themselves
It doesn't really matter if they have parental clearance
They understand the Internet better than their parents
Now, being the Internet, the content's probably uncensored
They're young, so they're malleable and probably unmentored
A complicated combination, maybe with no relevance
Until that intelligence meets their favorite singer's preference
""Bad bitches, bad bitches, bad bitches
That's all I want and all I like in life is bad bitches, bad bitches.""
Now, let's say that they less concerned with him
And more with the video girl acquiescent to his whims
Ah, the plot thickens: high heels, long hair, fat booty, slim
Reality check, I'm not trippin'
They don't see a paid actress, just what makes a bad bitch",Lupe Fiasco|||Bitch Bad|||1,3,
Lupe Fiasco|||Bitch Bad|||1|||4,Lupe Fiasco,Bitch Bad,"Bitch bad, woman good
Lady better, they misunderstood
(I'm killin' these bitches)
I say, I say, I say, I say, I say, I say
Bitch bad, woman good
Lady better, they misunderstood
(I'm killin' these bitches)",Lupe Fiasco|||Bitch Bad|||1,4,
Lupe Fiasco|||Bitch Bad|||1|||5,Lupe Fiasco,Bitch Bad,"Disclaimer: this rhymer, Lupe, is not using ""bitch"" as a lesson
But as a psychological weapon
To set in your mind and really mess with your conceptions
Discretions, reflections, it's clever misdirection
?˜Cause while I was rappin' they was growin' up fast
Nobody stepped in to ever slow 'em up, gasp
Sho' enough, in this little world
The little boy meets one of those little girls
And he thinks she a bad bitch and she thinks she a bad bitch
He thinks disrespectfully, she thinks of that sexually
She got the wrong idea, he don't wanna fuck her
He think she's bad at being a bitch like his mother
Momma never dressed like that
Come out the house, hot mess like that
Ass, titties, dressed like that, all out to impress like that
Just like that, you see the fruit of the confusion
He caught in a reality, she caught in an illusion
""Bad"" mean good to her, she really nice and smart
But ""bad"" mean bad to him, ""bitch"" don't play a part
But ""bitch"" still bad to her if you say it the wrong way
But she think she a bitch ??what a double entendre!",Lupe Fiasco|||Bitch Bad|||1,5,
Lupe Fiasco|||Bitch Bad|||1|||6,Lupe Fiasco,Bitch Bad,"Tell 'em, bitch bad, woman good
Lady better, they misunderstood
I say, I say, I say, I say, I say, I say
Bitch bad, woman good
Lady better, they misunderstood
They misunderstood",Lupe Fiasco|||Bitch Bad|||1,6,
Lupe Fiasco|||Bitch Bad|||1|||7,Lupe Fiasco,Bitch Bad,"Bitch bad, woman good
Lady better, they misunderstood
You're misunderstood
(I'm killin' these bitches)
Bitch bad, woman good
Lady better, greatest motherhood
(I'm killin' these bitches)
<\Lyric>```",Lupe Fiasco|||Bitch Bad|||1,7,
