id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
NF|||Let You Down|||0|||0,NF,Let You Down,"```
<Artist name> NF <\Artist>
<Song title> Let You Down <\Song title>
<Lyric> 
Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Let you down
All these voices in my head get loud
I wish that I could shut them out
I'm sorry that I let you down
Le-le-let you down",NF|||Let You Down|||0,0,desire,remorse,sadness,"[{'label': 'desire', 'score': 0.6019863486289978}, {'label': 'remorse', 'score': 0.26026690006256104}, {'label': 'sadness', 'score': 0.1913636028766632}, {'label': 'disappointment', 'score': 0.07440885901451111}, {'label': 'neutral', 'score': 0.043234650045633316}, {'label': 'optimism', 'score': 0.026613133028149605}]"
NF|||Let You Down|||0|||1,NF,Let You Down,"Yeah, I guess I'm a disappointment, doin' everything I can
I don't wanna make you disappointed, it's annoying
I just wanna make you feel like everything I ever do
Was never tryna make an issue for you, but I guess the more you
Thought about everything you were never even wrong
In the first place, right? Yeah, I'ma just ignore you
Walking towards you with my head down
Lookin' at the ground, I'm embarrassed for you
Paranoia, what did I do wrong this time?
That's parents for you
Very loyal? Shoulda had my back
But you put a knife in it´, my hands are full
What else should I carry for you?
I cared for you, but",NF|||Let You Down|||0,1,disappointment,embarrassment,annoyance,"[{'label': 'disappointment', 'score': 0.38771703839302063}, {'label': 'embarrassment', 'score': 0.23499780893325806}, {'label': 'annoyance', 'score': 0.18221913278102875}, {'label': 'curiosity', 'score': 0.14337670803070068}, {'label': 'sadness', 'score': 0.08382080495357513}, {'label': 'confusion', 'score': 0.045888714492321014}]"
NF|||Let You Down|||0|||2,NF,Let You Down,"Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Le-le-let you down
All these voices in my head get loud
I wish that I could shut them out
I'm sorry that I let you down
Le-le-let you down",NF|||Let You Down|||0,2,desire,remorse,sadness,"[{'label': 'desire', 'score': 0.6336696743965149}, {'label': 'remorse', 'score': 0.23867394030094147}, {'label': 'sadness', 'score': 0.17095378041267395}, {'label': 'disappointment', 'score': 0.06711523979902267}, {'label': 'neutral', 'score': 0.04551762342453003}, {'label': 'optimism', 'score': 0.027408134192228317}]"
NF|||Let You Down|||0|||3,NF,Let You Down,"Yeah, you don't wanna make this work
You just wanna make this worse
Want me to listen to you, but you don't ever hear my words
You don't wanna know my hurt, yeah
Let me guess, you want an apology, probably
How can we keep going at a rate like this?
We can't, so I guess I'ma have to leave
Please, don't come after me
I just wanna be alone right now, I don't really wanna think at all
Go ahead, just drink it off
Both know you're gonna call tomorrow like nothing's wrong
Ain't that what you always do?
I feel like every time I talk to you, you're in an awful mood
What else can I offer you?
There's nothing left right now, I gave it all to you",NF|||Let You Down|||0,3,annoyance,disappointment,sadness,"[{'label': 'annoyance', 'score': 0.28427350521087646}, {'label': 'disappointment', 'score': 0.2526746094226837}, {'label': 'sadness', 'score': 0.2288706749677658}, {'label': 'neutral', 'score': 0.18645676970481873}, {'label': 'disapproval', 'score': 0.09487492591142654}, {'label': 'anger', 'score': 0.0655035674571991}]"
NF|||Let You Down|||0|||4,NF,Let You Down,"Yeah, don't talk down to me
That's not gonna work now
Packed all my clothes and I moved out
I don't even wanna go to your house
Every time I sit on that couch
I feel like you lecture me, eventually, I bet that we
Coulda made this work
And prolly woulda figured things out
But I guess I'm a letdown
But it's cool, I checked out
Oh, you wanna be friends now?
Okay, let's put my fake face on and pretend now
Sit around and talk about the good times that didn't even happen
I mean, why are you laughing?
Must have missed that joke, let me see if I can find a reaction
No, but at least you're happy",NF|||Let You Down|||0,4,annoyance,disappointment,joy,"[{'label': 'annoyance', 'score': 0.36764010787010193}, {'label': 'disappointment', 'score': 0.18681566417217255}, {'label': 'neutral', 'score': 0.16780848801136017}, {'label': 'joy', 'score': 0.10553476214408875}, {'label': 'disapproval', 'score': 0.09350521862506866}, {'label': 'amusement', 'score': 0.06956653296947479}]"
NF|||Let You Down|||0|||5,NF,Let You Down,"Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Oh, I let you down
All these voices in my head get loud
And I wish that I could shut them out
I'm sorry that I let you down
Oh, let you down",NF|||Let You Down|||0,5,desire,remorse,sadness,"[{'label': 'desire', 'score': 0.5969882607460022}, {'label': 'remorse', 'score': 0.2543507516384125}, {'label': 'sadness', 'score': 0.22085890173912048}, {'label': 'disappointment', 'score': 0.08673038333654404}, {'label': 'neutral', 'score': 0.041315287351608276}, {'label': 'optimism', 'score': 0.02581600658595562}]"
NF|||Let You Down|||0|||6,NF,Let You Down,"Yeah, I'm sorry
I'm so sorry now
Yeah, I'm sorry that I let you down
<\Lyric>```",NF|||Let You Down|||0,6,remorse,sadness,approval,"[{'label': 'remorse', 'score': 0.7800905108451843}, {'label': 'sadness', 'score': 0.3281165361404419}, {'label': 'approval', 'score': 0.031324852257966995}, {'label': 'caring', 'score': 0.02424643188714981}, {'label': 'disappointment', 'score': 0.023913796991109848}, {'label': 'neutral', 'score': 0.019854886457324028}]"
NF|||The Search|||1|||0,NF,The Search,"```
<Artist name> NF <\Artist>
<Song title> The Search <\Song title>
<Lyric> 
""Hey, Nate, how's life?""
I don’t know, it's alright
I've been dealin’ with some things like every human being
And really didn't sleep much last night (Last night)
""I'm sorry,"" that's fine
I just think I need a little me time
I just think I need a little free time
Little break from the shows and the bus rides, yeah (Bus rides)
Last year I had a breakdown
Thoughts tellin' me I'm lost gettin' too loud
Had to see a therapist, then I found out
Somethin' funny’s goin’ on up in my house
Yeah, I started thinkin' maybe I should move out
You know, pack my cart, take a new route
Clean up my yard, get the noose out
Hang up my heart, let it air out (Air out)
I’ve been searchin'
""What does that mean, Nate?"" I've been learning
Grabbin' my keepsakes, leavin’ my burdens
Well, I brought a few with me, I'm not perfect
Lookin' at the view, like this concerns me
Pickin' up the cues, right? I'm quite nervous
Hate it when I lose sight, life gets blurry
And things might hurt me
It's prolly gonna be a long journey, but hey (But hey)
It's worth it, though
Cold world out there, kids, grab your coats
It's been a minute, I know, now I'm back to roam
Lookin' for the antidote to crack the code
Pretty vivid; I admit it, I'm in classic mode
Don't need pity given to me, but I can't condone
Talkin' down to me, I'ma have to crack your nose for crackin' jokes
I'm lookin' for the map to hope, you seen it? (You seen it?)
Been makin' a whole lot of changes
Wrote a song about that, you should play it
I get scared when I walk on these stages
I look at the crowd and see so many faces, yeah
That's when I start to get anxious
That's when my thoughts can be dangerous
That's when I put on my makeup and drown in self-hatred
Forget what I'm sayin', and—
Where'd the beat go?
Oh, ain't that somethin'?
Drums came in, you ain't see that comin'
Hands on my head, can't tell me nothin'
Got a taste of the fame, had to pump my stomach
Throw it back up like I don't want it
Wipe my face, clean off my vomit
OCD, tryna push my buttons
I said don't touch it, now y'all done it
I can be critical, never typical
Intricate with every syllable, I'm a criminal
Intimate, but never political, pretty visual
Even if you hate it, I'll make it feel like you're in it, though
You call me what you wanna, but never call me forgettable
Leave you deep in thought, I could never swim in the kiddie pool
Way that I been thinkin' is cinematic, it's beautiful
Man, I don't know if I'm makin' movies or music videos (Videos, videos, videos)
Yeah, the sales can rise
Doesn't mean much though when your health declines
See, we've all got somethin' that we trapped inside
That we try to suffocate, you know, hopin' it dies
Try to hold it underwater but it always survives
Then it comes up outta nowhere like an evil surprise
Then it hovers over you to tell you millions of lies
You don't relate to that? Must not be as crazy as I am
The point I'm makin' is the mind is a powerful place
And what you feed it can affect you in a powerful way
It's pretty cool, right? Yeah, but it's not always safe
Just hang with me, this'll only take a moment, okay?
Just think about it for a second, if you look at your face
Every day when you get up and think you'll never be great
You'll never be great—not because you're not, but the hate
Will always find a way to cut you up and murder your faith, woo
I've been developin', take a look at the benefits
Nothin' to meddle with, I can never be delicate
Am I even relevant? That depends how you measure it
Take a measurement, then bag it up and give me the evidence
Pretty evident; dependable can never be tentative
I'm a gentleman, depending on if I think you're genuine
Pretty elegant, but not afraid to tell you to get a grip
Proper etiquette, I keep it to myself when I celebrate, ah (Ah)
It's that time again
Better grab your balloons and invite your friends
Seatbelts back on, yeah, strap 'em in
Look at me, everybody, I'm smilin' big
On a road right now that I can't predict
Tell me ""Tone that down,"" but I can't resist
Y'all know that sound, better raise your fist
The search begins, I'm back, so enjoy the trip, huh",NF|||The Search|||1,0,nervousness,fear,sadness,"[{'label': 'nervousness', 'score': 0.5116354823112488}, {'label': 'fear', 'score': 0.1751682013273239}, {'label': 'sadness', 'score': 0.1617591828107834}, {'label': 'realization', 'score': 0.09454866498708725}, {'label': 'approval', 'score': 0.07595200091600418}, {'label': 'neutral', 'score': 0.06516996026039124}]"
NF|||When I Grow Up|||2|||0,NF,When I Grow Up,"```
<Artist name> NF <\Artist>
<Song title> When I Grow Up <\Song title>
<Lyric> 
Yeah, when I grow up, you know what I wanna be?
Take a seat, let me tell you my ridiculous dreams
I wanna rap, yeah, I know it's hard to believe
And I can tell you're already thinkin' I will never succeed
But I'm okay with it, I admit the lyrics are weak
I've been workin' on 'em, I'll be good eventually
I understand you gotta crawl before you get to your feet
But I been running for a while, they ain't ready for me, ahh
I know this prolly isn't really realistic
And honestly, I might not ever make a difference
But that don't make a difference, I'ma have to risk it
I've been crunchin' numbers, you ain't gotta be a mathematician
To see the odds ain't rootin' for me
I can't lie though, it's kinda how I like it to be
The underdog, yeah, you prolly think you know what I mean
But what I'm saying is they ever push me, I'm gonna swing, yeah
I could go to college, get in debt like everybody else
Graduate and prolly get a job that doesn't pay the bills
That don't make a lot of sense to me, forget the Happy Meals
I don't like the dollar menu, I would rather make a meal
Huh? Make a mil'? Nah, I said make a meal
Home-cookin', get the grill, how you want it? Pretty well?
Everything I see is overdone to me, I'm not Adele
But I'ma get a record deal and say hello to mass appeal",NF|||When I Grow Up|||2,0,disapproval,approval,disappointment,"[{'label': 'disapproval', 'score': 0.30516883730888367}, {'label': 'approval', 'score': 0.26073554158210754}, {'label': 'neutral', 'score': 0.2277376502752304}, {'label': 'disappointment', 'score': 0.15851837396621704}, {'label': 'annoyance', 'score': 0.12134788185358047}, {'label': 'realization', 'score': 0.030739564448595047}]"
NF|||When I Grow Up|||2|||1,NF,When I Grow Up,"When I grow up, I just want to pay my bills
Rappin' about the way I feel (Oh, yeah)
I just want to make a couple mil'
Leave it to the fam in the will (Oh, yeah)
I just want to sign a record deal
Maybe buy a house up in the hills (Oh, yeah)
Might not be the best in my field
But I guarantee that I'ma die real
When I grow up",NF|||When I Grow Up|||2,1,desire,optimism,approval,"[{'label': 'desire', 'score': 0.7763880491256714}, {'label': 'neutral', 'score': 0.15865764021873474}, {'label': 'optimism', 'score': 0.09601140022277832}, {'label': 'approval', 'score': 0.01905476301908493}, {'label': 'annoyance', 'score': 0.01579197682440281}, {'label': 'disappointment', 'score': 0.012724536471068859}]"
