id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
OneRepublic|||Counting Stars|||0|||0,OneRepublic,Counting Stars,"```
<Artist name> OneRepublic <\Artist>
<Song title> Counting Stars <\Song title>
<Lyric> 
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars
Yeah, we'll be countin' stars""",OneRepublic|||Counting Stars|||0,0,desire,caring,optimism,"[{'label': 'neutral', 'score': 0.7022271752357483}, {'label': 'desire', 'score': 0.1746073216199875}, {'label': 'caring', 'score': 0.04352828860282898}, {'label': 'optimism', 'score': 0.041693493723869324}, {'label': 'approval', 'score': 0.03397480770945549}, {'label': 'sadness', 'score': 0.012202493846416473}]"
OneRepublic|||Counting Stars|||0|||1,OneRepublic,Counting Stars,"I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye shall find",OneRepublic|||Counting Stars|||0,1,approval,optimism,annoyance,"[{'label': 'neutral', 'score': 0.9517722129821777}, {'label': 'approval', 'score': 0.02128145843744278}, {'label': 'optimism', 'score': 0.007835322059690952}, {'label': 'annoyance', 'score': 0.007001417689025402}, {'label': 'realization', 'score': 0.006744768936187029}, {'label': 'excitement', 'score': 0.006607929710298777}]"
OneRepublic|||Counting Stars|||0|||2,OneRepublic,Counting Stars,"Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told",OneRepublic|||Counting Stars|||0,2,disapproval,approval,realization,"[{'label': 'neutral', 'score': 0.5884560942649841}, {'label': 'disapproval', 'score': 0.46903151273727417}, {'label': 'approval', 'score': 0.07045848667621613}, {'label': 'realization', 'score': 0.0288014467805624}, {'label': 'annoyance', 'score': 0.018078764900565147}, {'label': 'disappointment', 'score': 0.011057107709348202}]"
OneRepublic|||Counting Stars|||0|||3,OneRepublic,Counting Stars,"I feel something so right doin' the wrong thing
I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive",OneRepublic|||Counting Stars|||0,3,sadness,disappointment,realization,"[{'label': 'sadness', 'score': 0.34063735604286194}, {'label': 'disappointment', 'score': 0.25514382123947144}, {'label': 'realization', 'score': 0.18683229386806488}, {'label': 'approval', 'score': 0.12130887806415558}, {'label': 'annoyance', 'score': 0.06969214230775833}, {'label': 'neutral', 'score': 0.06752721965312958}]"
OneRepublic|||Counting Stars|||0|||4,OneRepublic,Counting Stars,"Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars"", yeah",OneRepublic|||Counting Stars|||0,4,desire,sadness,approval,"[{'label': 'neutral', 'score': 0.8558847904205322}, {'label': 'desire', 'score': 0.08282352983951569}, {'label': 'sadness', 'score': 0.02200862392783165}, {'label': 'approval', 'score': 0.015998821705579758}, {'label': 'optimism', 'score': 0.015825659036636353}, {'label': 'caring', 'score': 0.010040338151156902}]"
OneRepublic|||Counting Stars|||0|||5,OneRepublic,Counting Stars,"I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn",OneRepublic|||Counting Stars|||0,5,love,caring,sadness,"[{'label': 'love', 'score': 0.6611320972442627}, {'label': 'neutral', 'score': 0.20129425823688507}, {'label': 'caring', 'score': 0.0909559354186058}, {'label': 'sadness', 'score': 0.09062584489583969}, {'label': 'desire', 'score': 0.062151648104190826}, {'label': 'optimism', 'score': 0.03763899579644203}]"
OneRepublic|||Counting Stars|||0|||6,OneRepublic,Counting Stars,"Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told",OneRepublic|||Counting Stars|||0,6,disapproval,approval,realization,"[{'label': 'neutral', 'score': 0.5854644775390625}, {'label': 'disapproval', 'score': 0.2826823890209198}, {'label': 'approval', 'score': 0.16827598214149475}, {'label': 'realization', 'score': 0.03642679750919342}, {'label': 'annoyance', 'score': 0.012192335911095142}, {'label': 'optimism', 'score': 0.01076680887490511}]"
OneRepublic|||Counting Stars|||0|||7,OneRepublic,Counting Stars,"I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly",OneRepublic|||Counting Stars|||0,7,disappointment,annoyance,disapproval,"[{'label': 'disappointment', 'score': 0.537226140499115}, {'label': 'annoyance', 'score': 0.24561135470867157}, {'label': 'disapproval', 'score': 0.14925023913383484}, {'label': 'sadness', 'score': 0.1096649169921875}, {'label': 'neutral', 'score': 0.06322889775037766}, {'label': 'realization', 'score': 0.0576481856405735}]"
OneRepublic|||Counting Stars|||0|||8,OneRepublic,Counting Stars,"Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""",OneRepublic|||Counting Stars|||0,8,desire,optimism,sadness,"[{'label': 'neutral', 'score': 0.8493521809577942}, {'label': 'desire', 'score': 0.09817102551460266}, {'label': 'optimism', 'score': 0.018874239176511765}, {'label': 'sadness', 'score': 0.0188464168459177}, {'label': 'approval', 'score': 0.01320255920290947}, {'label': 'caring', 'score': 0.01024753786623478}]"
OneRepublic|||Counting Stars|||0|||9,OneRepublic,Counting Stars,"Oh, take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned",OneRepublic|||Counting Stars|||0,9,realization,approval,embarrassment,"[{'label': 'realization', 'score': 0.507777750492096}, {'label': 'neutral', 'score': 0.36112096905708313}, {'label': 'approval', 'score': 0.07442054152488708}, {'label': 'embarrassment', 'score': 0.03016037866473198}, {'label': 'disappointment', 'score': 0.028223257511854172}, {'label': 'sadness', 'score': 0.025223784148693085}]"
