id,artist_name,song_title,lyrics,parent_id,chunk_order
OneRepublic|||Counting Stars|||0|||0,OneRepublic,Counting Stars,"```
<Artist name> OneRepublic <\Artist>
<Song title> Counting Stars <\Song title>
<Lyric> 
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars
Yeah, we'll be countin' stars""",OneRepublic|||Counting Stars|||0,0
OneRepublic|||Counting Stars|||0|||1,OneRepublic,Counting Stars,"I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye shall find",OneRepublic|||Counting Stars|||0,1
OneRepublic|||Counting Stars|||0|||2,OneRepublic,Counting Stars,"Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told",OneRepublic|||Counting Stars|||0,2
OneRepublic|||Counting Stars|||0|||3,OneRepublic,Counting Stars,"I feel something so right doin' the wrong thing
I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive",OneRepublic|||Counting Stars|||0,3
OneRepublic|||Counting Stars|||0|||4,OneRepublic,Counting Stars,"Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars"", yeah",OneRepublic|||Counting Stars|||0,4
OneRepublic|||Counting Stars|||0|||5,OneRepublic,Counting Stars,"I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn",OneRepublic|||Counting Stars|||0,5
OneRepublic|||Counting Stars|||0|||6,OneRepublic,Counting Stars,"Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told",OneRepublic|||Counting Stars|||0,6
OneRepublic|||Counting Stars|||0|||7,OneRepublic,Counting Stars,"I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly",OneRepublic|||Counting Stars|||0,7
OneRepublic|||Counting Stars|||0|||8,OneRepublic,Counting Stars,"Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""",OneRepublic|||Counting Stars|||0,8
OneRepublic|||Counting Stars|||0|||9,OneRepublic,Counting Stars,"Oh, take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned",OneRepublic|||Counting Stars|||0,9
OneRepublic|||Counting Stars|||0|||10,OneRepublic,Counting Stars,Everything that kills me makes me feel alive,OneRepublic|||Counting Stars|||0,10
OneRepublic|||Counting Stars|||0|||11,OneRepublic,Counting Stars,"Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
<\Lyric>```",OneRepublic|||Counting Stars|||0,11
OneRepublic|||Secrets|||1|||0,OneRepublic,Secrets,"```
<Artist name> OneRepublic <\Artist>
<Song title> Secrets <\Song title>
<Lyric> 
I need another story
Something to get off my chest
My life gets kinda boring
Need something that I can confess
'Til all my sleeves are stained red
From all the truth that I've said
Come by it honestly I swear
Thought you saw me wink, no
I've been on the brink, so",OneRepublic|||Secrets|||1,0
OneRepublic|||Secrets|||1|||1,OneRepublic,Secrets,"Tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,1
OneRepublic|||Secrets|||1|||2,OneRepublic,Secrets,"My God, amazing how we got this far
It's like we're chasing all those stars
Who's driving shiny big black cars
And every day I see the news
All the problems that we could solve
And when a situation rises
Just write it into an album
Send it straight to gold
But I don't really like my flow, no",OneRepublic|||Secrets|||1,2
OneRepublic|||Secrets|||1|||3,OneRepublic,Secrets,"So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,3
OneRepublic|||Secrets|||1|||4,OneRepublic,Secrets,"Ooh
Got no reason, got no shame
Got no family I can blame
Just don't let me disappear
I'ma tell you everything",OneRepublic|||Secrets|||1,4
OneRepublic|||Secrets|||1|||5,OneRepublic,Secrets,"So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,5
OneRepublic|||Secrets|||1|||6,OneRepublic,Secrets,"All my secrets away
All my secrets away
<\Lyric>```",OneRepublic|||Secrets|||1,6
OneRepublic|||Apologize|||2|||0,OneRepublic,Apologize,"```
<Artist name> OneRepublic <\Artist>
<Song title> Apologize <\Song title>
<Lyric> 
I'm holdin' on your rope
Got me ten feet off the ground
And I'm hearin' what you say
But I just can't make a sound, no
You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around and say",OneRepublic|||Apologize|||2,0
OneRepublic|||Apologize|||2|||1,OneRepublic,Apologize,"That it's too late to apologize
It's too late
I said it's too late to apologize
It's too late",OneRepublic|||Apologize|||2,1
OneRepublic|||Apologize|||2|||2,OneRepublic,Apologize,"Too late
Oh, too late",OneRepublic|||Apologize|||2,2
OneRepublic|||Apologize|||2|||3,OneRepublic,Apologize,"I'd take another chance
Take a fall, take a shot for you
Oh, and I need you like a heart needs a beat
But it's nothing new, yeah, yeah
I loved you with a fire red
Now it's turnin' blue and you say
Sorry like the angel
Heaven let me think was you, but I'm afraid",OneRepublic|||Apologize|||2,3
OneRepublic|||Apologize|||2|||4,OneRepublic,Apologize,"It's too late to apologize
It's too late
I said it's too late to apologize
It's too late",OneRepublic|||Apologize|||2,4
OneRepublic|||Apologize|||2|||5,OneRepublic,Apologize,"Woah, woah, late",OneRepublic|||Apologize|||2,5
OneRepublic|||Apologize|||2|||6,OneRepublic,Apologize,"It's too late to apologize
It's too late
I said it's too late to apologize
It's too late
I said it's too late to apologize, yeah (Too late)
I said it's too late to apologize, yeah (Too late)",OneRepublic|||Apologize|||2,6
OneRepublic|||Apologize|||2|||7,OneRepublic,Apologize,"I'm holdin' on your rope
Got me ten feet off the ground
<\Lyric>```",OneRepublic|||Apologize|||2,7
OneRepublic|||Kids|||3|||0,OneRepublic,Kids,"```
<Artist name> OneRepublic <\Artist>
<Song title> Kids <\Song title>
<Lyric> 
Days when
We'd fight, we'd fight 'til I would give in
Yeah, perfect disasters
We were reaching, reaching for the rafters, hey",OneRepublic|||Kids|||3,0
OneRepublic|||Kids|||3|||1,OneRepublic,Kids,"And on most of the days, we were searching for ways
To get up and get out of the town we were raised
Yeah, 'cause we were done
I remember
We were sleeping in cars, we were searching for Oz
We were burning cigars with the white plastics tips
'Til we saw the sun
But we said crazy things like",OneRepublic|||Kids|||3,1
OneRepublic|||Kids|||3|||2,OneRepublic,Kids,"I refuse to look back thinking days were better
Just because they're younger days
I don't know what's 'round the corner
Way I feel right now, I swear we'll never change
Back when we were kids
Swore we would never die
You and me were kids
Swear that we'll never die",OneRepublic|||Kids|||3,2
OneRepublic|||Kids|||3|||3,OneRepublic,Kids,"Lights down
And we drive and we're drivin' just to get out
Yeah, perfect disasters
Yeah we were swinging, swinging from the rafters, hey",OneRepublic|||Kids|||3,3
OneRepublic|||Kids|||3|||4,OneRepublic,Kids,"We were dancing in cars, we were looking for Oz
We were naming the stars after people we knew
'Til we had to go
And we were saying things like",OneRepublic|||Kids|||3,4
OneRepublic|||Kids|||3|||5,OneRepublic,Kids,"Nights when we kept dancing
Changing all our plans and
Making every day a holiday
Feel the years start burning
City lights, they're turning
But something 'bout this feels the same",OneRepublic|||Kids|||3,5
OneRepublic|||Kids|||3|||6,OneRepublic,Kids,"Back when we were kids
Swore we would never die
You and me were kids
Swear that we'll never die",OneRepublic|||Kids|||3,6
OneRepublic|||Kids|||3|||7,OneRepublic,Kids,"I refuse to look back thinking days were better
Just because they're younger days
(You and me were kids)
I don't know what's 'round the corner
Way I feel right now, I swear we'll never change
You and me were kids
<\Lyric>```",OneRepublic|||Kids|||3,7
OneRepublic|||I Lived|||4|||0,OneRepublic,I Lived,"```
<Artist name> OneRepublic <\Artist>
<Song title> I Lived <\Song title>
<Lyric> 
Hope when you take that jump, you don't fear the fall
Hope when the water rises, you built a wall
Hope when the crowd screams out, it's screaming your name
Hope if everybody runs, you choose to stay
Hope that you fall in love and it hurts so bad, hey
The only way you can know, you give it all you have
And I hope that you don't suffer, but take the pain",OneRepublic|||I Lived|||4,0
OneRepublic|||I Lived|||4|||1,OneRepublic,I Lived,"Hope when the moment comes, you'll say",OneRepublic|||I Lived|||4,1
OneRepublic|||I Lived|||4|||2,OneRepublic,I Lived,"I, I did it all
I, I did it all
I owned every second that this world could give
I saw so many places, the things that I did
Yeah, with every broken bone
I swear I lived",OneRepublic|||I Lived|||4,2
OneRepublic|||I Lived|||4|||3,OneRepublic,I Lived,"Hope that you spend your days, but they all add up
And when that sun goes down hope you raise your cup, oh-oh
I wish that I could witness all your joy and all your pain",OneRepublic|||I Lived|||4,3
OneRepublic|||I Lived|||4|||4,OneRepublic,I Lived,"But until my moment comes, I'll say",OneRepublic|||I Lived|||4,4
OneRepublic|||I Lived|||4|||5,OneRepublic,I Lived,"With every broken bone
I swear I lived
With every broken bone
I swear I—",OneRepublic|||I Lived|||4,5
OneRepublic|||I Lived|||4|||6,OneRepublic,I Lived,"I swear I lived
<\Lyric>```",OneRepublic|||I Lived|||4,6
OneRepublic|||Start Again|||5|||0,OneRepublic,Start Again,"```
<Artist name> OneRepublic <\Artist>
<Song title> Start Again <\Song title>
<Lyric> 
Can't I just turn back the clock?
Forgive my sins
I just wanna roll my sleeves up
And start again
I know that I messed it up
Time and time again
I just wanna roll my sleeves up
And start again",OneRepublic|||Start Again|||5,0
OneRepublic|||Start Again|||5|||1,OneRepublic,Start Again,"I was switchin' up the lanes
Steppin' out the frame I'm in
I was pulling on the reins
Sick of all the same happenin'
I swear I was looking for disaster
Mixed with a bottle of gin
And just because I come home after
Doesn't mean you'll take me in",OneRepublic|||Start Again|||5,1
OneRepublic|||Start Again|||5|||2,OneRepublic,Start Again,"You see my world is spinning like there's nothing below
You see my world is feeling like it just might explode
And yes I know it's hard to take it backwards from my mind
I need to get it right, need to see some light come in",OneRepublic|||Start Again|||5,2
OneRepublic|||Start Again|||5|||3,OneRepublic,Start Again,"Feelin' like maybe I'm unappreciated
Like my presence in your life has been alleviated
I feel like everything I've done before is different now
But I can see clearer than ever from a distance now
Every day I do it, I been goin' through it
But you never knew it 'cause I never showed you
You gave me the world, so I feel I owed you
I been lookin' through the mirror and that's the old you
I'ma get it right now, don't know how
But I promise that we're gonna make it somehow
I'm all in, it's from the heart again
Open up your mind and maybe we could start again",OneRepublic|||Start Again|||5,3
OneRepublic|||Start Again|||5|||4,OneRepublic,Start Again,"Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh",OneRepublic|||Start Again|||5,4
OneRepublic|||Start Again|||5|||5,OneRepublic,Start Again,"And yes I know it's hard to take it backwards from my mind
I need to get it right, need to see some light come in
Can't I just turn back the clock?
Forgive my sins
I just wanna roll my sleeves up
And start again
<\Lyric>```",OneRepublic|||Start Again|||5,5
OneRepublic|||If I Lose Myself|||6|||0,OneRepublic,If I Lose Myself,"```
<Artist name> OneRepublic <\Artist>
<Song title> If I Lose Myself <\Song title>
<Lyric> 
I stared up at the sun
Thought of all of the people, places and things I've loved
I stared up just to see
With all of the faces, you were the one next to me",OneRepublic|||If I Lose Myself|||6,0
OneRepublic|||If I Lose Myself|||6|||1,OneRepublic,If I Lose Myself,"You can feel the light start to tremble
Washing what you know out to sea, yeah
You can see your life out of the window tonight",OneRepublic|||If I Lose Myself|||6,1
OneRepublic|||If I Lose Myself|||6|||2,OneRepublic,If I Lose Myself,"If I lose myself tonight
It'll be by your side
I lose myself tonight
Whoa, yeah, yeah
If I lose myself tonight
It'll be you and I
Lose myself tonight",OneRepublic|||If I Lose Myself|||6,2
OneRepublic|||If I Lose Myself|||6|||3,OneRepublic,If I Lose Myself,"I woke up with the sun
Thought of all of the people, places and things I've loved
I woke up just to see
With all of the faces, you were the one next to me",OneRepublic|||If I Lose Myself|||6,3
OneRepublic|||If I Lose Myself|||6|||4,OneRepublic,If I Lose Myself,"If I lose myself tonight
It'll be by your side
I lose myself tonight
Whoa, yeah, yeah
If I lose myself tonight
It'll be you and I
Lose myself tonight, ooh",OneRepublic|||If I Lose Myself|||6,4
OneRepublic|||If I Lose Myself|||6|||5,OneRepublic,If I Lose Myself,"Ooh
Ah-ooh",OneRepublic|||If I Lose Myself|||6,5
OneRepublic|||If I Lose Myself|||6|||6,OneRepublic,If I Lose Myself,"Take us down and we keep trying
Forty thousand feet, keep flying
Take us down and we keep trying
Forty thousand feet, keep flying
Take us down and we keep trying
Forty thousand feet, keep flying
Take us down and we keep trying
Forty thousand feet, keep flying",OneRepublic|||If I Lose Myself|||6,6
OneRepublic|||If I Lose Myself|||6|||7,OneRepublic,If I Lose Myself,"Ooh, myself
I lose myself tonight
Ooh-hoo-ooh
Hoo-hoo-ooh
<\Lyric>```",OneRepublic|||If I Lose Myself|||6,7
