id,artist_name,song_title,lyrics,parent_id,chunk_order
Post Malone|||​​rockstar|||0|||0,Post Malone,​​rockstar,"```
<Artist name> Post Malone <\Artist>
<Song title> ​​rockstar <\Song title>
<Lyric> 
Hahahahaha
Tank God
Ayy, ayy",Post Malone|||​​rockstar|||0,0
Post Malone|||​​rockstar|||0|||1,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)",Post Malone|||​​rockstar|||0,1
Post Malone|||​​rockstar|||0|||2,Post Malone,​​rockstar,"Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('Son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (Car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (Ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (Yeah, ayy, ayy, ayy)",Post Malone|||​​rockstar|||0,2
Post Malone|||​​rockstar|||0|||3,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow)",Post Malone|||​​rockstar|||0,3
Post Malone|||​​rockstar|||0|||4,Post Malone,​​rockstar,"I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (Bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah)
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (Kiss that?)
Your wifey say I'm lookin' like a whole snack (Big snack)
Green hundreds in my safe, I got old racks (Old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (Ayy)",Post Malone|||​​rockstar|||0,4
Post Malone|||​​rockstar|||0|||5,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, grra-ta-ta-ta-ta)",Post Malone|||​​rockstar|||0,5
Post Malone|||​​rockstar|||0|||6,Post Malone,​​rockstar,"Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a…
<\Lyric>```",Post Malone|||​​rockstar|||0,6
Post Malone|||White Iverson|||1|||0,Post Malone,White Iverson,"```
<Artist name> Post Malone <\Artist>
<Song title> White Iverson <\Song title>
<Lyric> 
Double OT
I'm a new three",Post Malone|||White Iverson|||1,0
Post Malone|||White Iverson|||1|||1,Post Malone,White Iverson,"Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh (Swaggin')
I'm ballin', I'm ballin', Iverson on you (Swish, ooh, ayy)
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay",Post Malone|||White Iverson|||1,1
Post Malone|||White Iverson|||1|||2,Post Malone,White Iverson,"I got me some braids and I got me some hoes
Started rockin' the sleeve, I can't ball with no Joes
You know how I do it, Concords on my toes
(This shit is hard) Oh
I ain't rich yet, but you know I ain't broke, ah
So if I see it, I like it, buy that from the store, ah (Store, ah)
I'm with some white girls and they love them the coca (Coca)
Like they OT
Double OT like I'm KD, smokin' OG (Smokin' OG)
And you know me, in my 2-3s and my gold teeth (And my gold teeth)
Bitch, I'm smiling, bet you see me from the nosebleeds (Nosebleeds)
I'm the new three and I change out to my new 3s (To my new 3s)",Post Malone|||White Iverson|||1,2
Post Malone|||White Iverson|||1|||3,Post Malone,White Iverson,"White Iverson
When I started ballin', I was young
You gon' think about me when I'm gone
I need that money like the ring I never won, I won",Post Malone|||White Iverson|||1,3
Post Malone|||White Iverson|||1|||4,Post Malone,White Iverson,"Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh
I'm ballin', I'm ballin', Iverson on you
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay",Post Malone|||White Iverson|||1,4
