id,artist_name,song_title,lyrics,parent_id,chunk_order
The Script|||Hall of Fame|||0|||0,The Script,Hall of Fame,"```
<Artist name> The Script <\Artist>
<Song title> Hall of Fame <\Song title>
<Lyric> 
Yeah, you can be the greatest, you can be the best
You can be the King Kong bangin' on your chest
You can beat the world, you can beat the war
You can talk to God, go bangin' on his door
You can throw your hands up, you can beat the clock (Yeah)
You can move a mountain, you can break rocks
You can be a master, don't wait for luck
Dedicate yourself and you gon' find yourself",The Script|||Hall of Fame|||0,0
The Script|||Hall of Fame|||0|||1,The Script,Hall of Fame,"Standin' in the Hall of Fame (Yeah)
And the world's gonna know your name (Yeah)
'Cause you burn with the brightest flame (Yeah)
And the world's gonna know your name (Yeah)
And you'll be on the walls of the Hall of Fame",The Script|||Hall of Fame|||0,1
The Script|||Hall of Fame|||0|||2,The Script,Hall of Fame,"You can go the distance, you can run the mile
You can walk straight through hell with a smile
You can be the hero, you can get the gold
Breakin' all the records they thought never could be broke, yeah
Do it for your people, do it for your pride
How are you ever gonna know if you never even try?
Do it for your country, do it for your name
'Cause there's gon' be a day, when you're",The Script|||Hall of Fame|||0,2
The Script|||Hall of Fame|||0|||3,The Script,Hall of Fame,"Be a champion
Be a champion
Be a champion
Be a champion
And you'll be on the walls of the Hall of Fame",The Script|||Hall of Fame|||0,3
The Script|||Hall of Fame|||0|||4,The Script,Hall of Fame,"Be students, be teachers
Be politicians, be preachers
Yeah
Be believers, be leaders
Be astronauts, be champions
Be truth-seekers
Be students, be teachers
Be politicians, be preachers
Yeah
Be believers, be leaders
Be astronauts, be champions",The Script|||Hall of Fame|||0,4
The Script|||Hall of Fame|||0|||5,The Script,Hall of Fame,"You can be the greatest, you can be the best
(Be a champion)
You can be the King Kong bangin' on your chest
(You can be a champion)
You can beat the world, you can beat the war
(Be a champion)
You can talk to God, go bangin' on his door
(You can be a champion)
You can throw your hands up, you can beat the clock
(You can be a champion)
You can move a mountain, you can break rocks
(You can be a champion)
You can be a master, don't wait for luck
(You can be a champion)
Dedicate yourself and you gon' find yourself
(You can be a champion)
Standing in the Hall of Fame…
<\Lyric>```",The Script|||Hall of Fame|||0,5
The Script|||Breakeven|||1|||0,The Script,Breakeven,"```
<Artist name> The Script <\Artist>
<Song title> Breakeven <\Song title>
<Lyric> 
I'm still alive, but I'm barely breathing
Just praying to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks, no, it don't break even",The Script|||Breakeven|||1,0
The Script|||Breakeven|||1|||1,The Script,Breakeven,"Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake, she's no trouble sleeping
'Cause when a heart breaks, no, it don't break even, even, no",The Script|||Breakeven|||1,1
The Script|||Breakeven|||1|||2,The Script,Breakeven,"What am I supposed to do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're okay?
I'm falling to pieces, yeah
I'm falling to pieces",The Script|||Breakeven|||1,2
The Script|||Breakeven|||1|||3,The Script,Breakeven,"They say bad things happen for a reason
But no wise words gon' stop the bleeding
'Cause she's moved on while I'm still grieving
And when a heart breaks, no, it don't break even, even, even, no",The Script|||Breakeven|||1,3
